state,short_state,2017_population,2010_population,representatives
Alabama,AL,4874747,4780127,7
Alaska,AK,739795,710249,1
American Samoa,AS,55641,55519,0
Arizona,AZ,7016270,6392307,9
Arkansas,AR,3004279,2915958,4
California,CA,39536653,37252895,53
Colorado,CO,5607154,5029324,7
Connecticut,CT,3588184,3574118,5
Delaware,DE,961939,897936,1
Dist. of Columbia,DC,693972,601767,0
Florida,FL,20984400,18804623,27
Georgia,GA,10429379,9688681,14
Guam,GU,165718,159358,0
Hawaii,HI,1427538,1360301,2
Idaho,ID,1716943,1567652,2
Illinois,IL,12802023,12831549,18
Indiana,IN,6666818,6484229,9
Iowa,IA,3145711,3046869,4
Kansas,KS,2913123,2853132,4
Kentucky,KY,4454189,4339349,6
Louisiana,LA,4684333,4533479,6
Maine,ME,1335907,1328361,2
Maryland,MD,6052177,5773785,8
Massachusetts,MA,6859819,6547817,9
Michigan,MI,9962311,9884129,14
Minnesota,MN,5576606,5303925,8
Mississippi,MS,2984100,2968103,4
Missouri,MO,6113532,5988927,8
Montana,MT,1050493,989417,1
Nebraska,NE,1920076,1826341,3
Nevada,NV,2998039,2700691,4
New Hampshire,NH,1342795,1316466,2
New Jersey,NJ,9005644,8791936,12
New Mexico,NM,2088070,2059192,3
New York,NY,19849399,19378087,27
North Carolina,NC,10273419,9535692,13
North Dakota,ND,755393,672591,1
Northern Marianas,MP,55194,53883,0
Ohio,OH,11658609,11536725,16
Oklahoma,OK,3930864,3751616,5
Oregon,OR,4142776,3831073,5
Pennsylvania,PA,12805537,12702887,18
Puerto Rico,PR,3337177,3726157,0
Rhode Island,RI,1059639,1052931,2
South Carolina,SC,5024369,4625401,7
South Dakota,SD,869666,814191,1
Tennessee,TN,6715984,6346275,9
Texas,TX,28304596,25146105,36
Utah,UT,3101833,2763888,4
Vermont,VT,623657,625745,1
Virginia,VA,8470020,8001045,11
Virgin Islands,VI,104914,106405,0
Washington,WA,7405743,6724543,10
West Virginia,WV,1815857,1853011,3
Wisconsin,WI,5795483,5687289,8
Wyoming,WY,579315,563767,1